group, logP, PSA, DC, AlRC, ArRC, BI
1,-6.82,309.14,14,4,0,1.35
1,-0.44,125.64,2,0,1,2.18
1,-2.73,113.52,4,3,0,1.65
1,1.18,94.83,3,4,0,1.7
1,-0.8,74.69,2,2,0,1.66
1,2.44,43.07,0,1,3,1.59
1,2.84,29.46,2,0,1,2.22
1,2.31,26,1,3,0,1.79
1,0.43,47.89,4,1,0,2.36
1,0.05,37.3,2,0,0,2.75
1,7.91,53.03,0,0,3,1.54
1,4.93,13.59,0,1,2,1.48
1,1.7,61.83,2,1,1,2.21
1,3.99,46.71,2,1,2,1.37
1,1.76,26,1,0,1,2.13
1,2.12,111.87,3,1,2,1.63
1,0.86,78.29,0,1,1,1.9
1,3.12,54.05,2,2,2,1.45
1,3.91,93.59,2,2,2,1.49
1,0.7,122.84,5,2,1,1.7
1,3.41,53.48,1,2,2,0.96
1,4.46,40.64,1,2,3,1.01
1,0.46,46.53,3,0,1,1.98
1,6.27,54.37,1,2,2,1.18
1,1.83,60.12,1,2,1,1.33
1,1.71,74.6,2,0,0,2.92
1,3.94,48.48,0,2,2,1.45
1,1.33,37.3,2,0,1,2.36
1,4.28,22.82,0,2,2,1.36
1,1.14,94.83,3,4,0,1.71
1,2.53,103.61,2,0,2,1.96
1,3.56,142,2,2,2,1.46
1,-1.77,136.1,2,1,1,2.16
1,3.57,30.66,1,1,1,1.82
1,3.83,72.51,2,6,1,1.42
1,3.6,17.07,1,0,1,2.46
1,1.17,90.34,0,4,0,1.08
1,2.28,80.35,2,2,2,1.47
1,-2.04,61.82,0,2,0,2.23
1,2.78,118.81,2,1,4,1.17
1,0.64,106.76,2,1,0,2.57
1,-2.06,26.3,1,0,0,3.21
1,3.62,59.29,1,1,2,1.68
1,3.42,99.88,3,1,1,2.18
1,2.86,48.19,1,1,2,1.58
1,2.8,39.89,1,0,1,2.25
1,3.24,26.48,0,1,1,1.72
1,3.88,52.48,0,1,2,1.47
1,1.61,26.3,1,1,1,1.97
1,-0.5,90.13,3,1,0,1.85
1,0.4,71.2,2,2,2,1.42
1,3.61,58.35,2,1,2,1.31
1,3.54,46.61,0,1,2,1.59
1,1.66,193.26,4,3,0,2.13
1,3.32,35.53,0,0,1,2.39
1,7.25,22.82,0,0,3,1.37
1,3.61,27.18,0,1,2,1.73
1,2.67,75.25,1,1,2,1.79
1,1.88,12.36,2,1,1,1.86
1,5.23,17.82,0,1,3,1.55
1,2.12,39.54,1,2,2,1.48
1,1.08,52.28,1,4,1,1.5
1,4.68,13.59,0,2,2,1.59
1,0.14,159.82,5,3,2,1.48
1,1.08,0,0,0,0,3.13
1,2.75,13.59,1,1,2,1.57
1,4.01,20.23,1,4,0,1.62
1,1.14,94.83,3,4,0,1.71
1,3.04,22.82,0,3,1,1.51
1,2.92,32.67,0,1,2,1.63
1,1.4,54.88,1,1,1,2.13
1,4.22,52.78,1,1,1,1.72
1,3.75,37.3,2,0,2,1.74
1,3.66,136.36,2,2,2,1.33
1,5.91,40.46,2,0,2,1.96
1,5.48,40.46,2,0,2,1.96
