drug,gene,no_mut,mut,amp,del,stats
Erlotinib,AKT2,1,0,1,0,1
Erlotinib,ALK,2,1,1,0,1
Erlotinib,APC,12,11,1,0,0
Erlotinib,BRAF,22,22,0,0,1
Erlotinib,BRCA1,2,0,2,0,0
Erlotinib,BRCA2,3,3,0,0,0
Erlotinib,CCND1,10,0,10,0,1
Erlotinib,CCND2,2,0,2,0,1
Erlotinib,CCND3,0,0,0,0,1
Erlotinib,CDH1,5,4,0,1,0
Erlotinib,CDK4,3,0,3,0,1
Erlotinib,CDK6,3,0,3,0,1
Erlotinib,CDKN2A,110,15,0,95,0
Erlotinib,CDKN2C,5,0,0,5,1
Erlotinib,CDKN2a(p14),100,100,0,0,0
Erlotinib,CTNNB1,7,4,1,2,0
Erlotinib,CYLD,1,1,0,0,1
Erlotinib,EGFR,9,3,6,0,0
Erlotinib,EP300,2,0,0,2,1
Erlotinib,ERBB2,5,0,5,0,1
Erlotinib,EZH2,3,3,0,0,1
Erlotinib,FAM123B,0,0,0,0,1
Erlotinib,FBXW7,8,7,0,1,0
Erlotinib,FGFR2,3,0,3,0,1
Erlotinib,FGFR3,2,1,1,0,0
Erlotinib,FLCN,2,1,1,0,0
Erlotinib,FLT3,3,2,1,0,0
Erlotinib,GNAS,4,1,3,0,1
Erlotinib,HRAS,3,3,0,0,1
Erlotinib,IDH1,0,0,0,0,1
Erlotinib,JAK2,3,0,2,1,0
Erlotinib,KDM5C,3,3,0,0,1
Erlotinib,KDM6A,17,9,0,8,0
Erlotinib,KDR,1,0,1,0,0
Erlotinib,KIT,2,0,2,0,1
Erlotinib,KRAS,22,18,4,0,1
Erlotinib,MAP2K4,4,1,0,3,1
Erlotinib,MDM2,4,0,4,0,0
Erlotinib,MET,3,0,3,0,0
Erlotinib,MLH1,8,7,1,0,1
Erlotinib,MLLT3,11,0,1,10,1
Erlotinib,MSH2,4,2,0,2,1
Erlotinib,MSH6,2,1,0,1,1
Erlotinib,MYC,23,0,23,0,1
Erlotinib,MYCL1,10,0,10,0,1
Erlotinib,MYCN,23,0,23,0,1
Erlotinib,NF1,11,7,0,4,0
Erlotinib,NF2,11,9,0,2,0
Erlotinib,NOTCH1,9,9,0,0,1
Erlotinib,NRAS,20,20,0,0,1
Erlotinib,PDGFRA,1,0,1,0,1
Erlotinib,PIK3CA,15,13,2,0,0
Erlotinib,PIK3R1,5,4,0,1,1
Erlotinib,PTEN,49,31,0,18,1
Erlotinib,RB1,57,47,0,10,1
Erlotinib,RUNX1,0,0,0,0,1
Erlotinib,SETD2,1,1,0,0,0
Erlotinib,SMAD4,8,6,0,2,0
Erlotinib,SMARCA4,3,3,0,0,1
Erlotinib,SMARCB1,0,0,0,0,1
Erlotinib,SMO,0,0,0,0,1
Erlotinib,SOCS1,1,0,0,1,0
Erlotinib,STK11,5,3,0,2,1
Erlotinib,TET2,3,3,0,0,0
Erlotinib,TP53,208,205,0,3,0
Erlotinib,TSC1,1,1,0,0,0
Erlotinib,VHL,3,3,0,0,1
Erlotinib,BCR_ABL,4,4,0,0,0
Erlotinib,EWS_FLI1,11,11,0,0,1
Erlotinib,MLL_AFF1,2,2,0,0,0
Erlotinib,MISHL,38,38,0,0,1
Rapamycin,AKT2,3,0,3,0,1
Rapamycin,ALK,4,3,1,0,1
Rapamycin,APC,12,11,1,0,1
Rapamycin,BRAF,25,25,0,0,1
Rapamycin,BRCA1,2,0,2,0,0
Rapamycin,BRCA2,3,3,0,0,0
Rapamycin,CCND1,12,0,12,0,1
Rapamycin,CCND2,2,0,2,0,1
Rapamycin,CCND3,0,0,0,0,1
Rapamycin,CDH1,6,5,0,1,0
Rapamycin,CDK4,3,0,3,0,1
Rapamycin,CDK6,3,0,3,0,1
Rapamycin,CDKN2A,120,17,0,103,0
Rapamycin,CDKN2C,6,0,0,6,0
Rapamycin,CDKN2a(p14),107,107,0,0,0
Rapamycin,CTNNB1,7,4,1,2,0
Rapamycin,CYLD,1,1,0,0,1
Rapamycin,EGFR,11,5,6,0,1
Rapamycin,EP300,2,0,0,2,0
Rapamycin,ERBB2,5,0,5,0,0
Rapamycin,EZH2,4,4,0,0,1
Rapamycin,FAM123B,0,0,0,0,1
Rapamycin,FBXW7,11,10,0,1,0
Rapamycin,FGFR2,3,0,3,0,1
Rapamycin,FGFR3,2,1,1,0,0
Rapamycin,FLCN,2,1,1,0,0
Rapamycin,FLT3,4,3,1,0,0
Rapamycin,GNAS,4,1,3,0,1
Rapamycin,HRAS,3,3,0,0,1
Rapamycin,IDH1,0,0,0,0,1
Rapamycin,JAK2,3,0,2,1,1
Rapamycin,KDM5C,4,4,0,0,1
Rapamycin,KDM6A,20,10,0,10,1
Rapamycin,KDR,1,0,1,0,0
Rapamycin,KIT,2,0,2,0,1
Rapamycin,KRAS,26,21,5,0,0
Rapamycin,MAP2K4,4,0,0,4,0
Rapamycin,MDM2,5,0,5,0,0
Rapamycin,MET,3,0,3,0,1
Rapamycin,MLH1,8,7,1,0,1
Rapamycin,MLLT3,12,0,1,11,1
Rapamycin,MSH2,5,2,0,3,1
Rapamycin,MSH6,4,3,0,1,1
Rapamycin,MYC,26,0,26,0,1
Rapamycin,MYCL1,10,0,10,0,1
Rapamycin,MYCN,25,0,25,0,1
Rapamycin,NF1,12,7,0,5,1
Rapamycin,NF2,12,10,0,2,0
Rapamycin,NOTCH1,11,11,0,0,1
Rapamycin,NRAS,26,26,0,0,1
Rapamycin,PDGFRA,1,0,1,0,1
Rapamycin,PIK3CA,18,16,2,0,0
Rapamycin,PIK3R1,5,4,0,1,1
Rapamycin,PTEN,54,34,0,20,0
